Symbol: AMZN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,7328.0,$0.34,5/27/98,,$145.02,7328.0,
2,DTSreversal(SELL),Sell to Close,-7328.0,$0.39,6/9/98,$324.38,$324.38,0.0,
3,DTSreversal(BUY),Buy to Open,2833.0,$0.88,8/31/98,,($198.27),2833.0,
4,DTSreversal(BUY),Buy to Open,3582.0,$0.70,9/1/98,,($401.22),6415.0,
5,DTSreversal(BUY),Buy to Open,3752.0,$0.67,9/2/98,,$269.89,10167.0,
6,DTSreversal(SELL),Sell to Close,-10167.0,$0.88,9/24/98,$1406.87,$1731.25,0.0,
7,DTSreversal(BUY),Buy to Open,1117.0,$2.24,2/19/99,,$2076.82,1117.0,
8,DTSreversal(SELL),Sell to Close,-1117.0,$3.13,2/26/99,$991.34,$2722.59,0.0,
9,DTSreversal(BUY),Buy to Open,727.0,$3.43,5/7/99,,$2704.41,727.0,
10,DTSreversal(BUY),Buy to Open,733.0,$3.41,5/10/99,,$3087.66,1460.0,
11,DTSreversal(BUY),Buy to Open,735.0,$3.40,5/14/99,,$2491.81,2195.0,
12,DTSreversal(SELL),Sell to Close,-2195.0,$3.17,7/7/99,($532.60),$2189.99,0.0,
13,DTSreversal(BUY),Buy to Open,656.0,$3.81,1/3/00,,$2624.59,656.0,
14,DTSreversal(SELL),Sell to Close,-656.0,$4.21,2/4/00,$264.45,$2454.44,0.0,
15,DTSreversal(SELL),Sell to Close,-3924.0,$0.64,4/12/02,$0.00,$2342.61,-3924.0,
16,DTSreversal(BUY),Buy to Open,3924.0,$0.64,4/12/02,,$2454.44,0.0,
17,DTSreversal(BUY),Buy to Open,3259.0,$0.77,6/26/02,,$2537.55,3259.0,
18,DTSreversal(BUY),Buy to Open,3154.0,$0.79,6/27/02,,$2540.75,6413.0,
19,DTSreversal(BUY),Buy to Open,3152.0,$0.79,6/28/02,,$2727.27,9565.0,
20,DTSreversal(SELL),Sell to Close,-9565.0,$0.68,7/2/02,($1018.45),$1436.00,0.0,
21,DTSreversal(SELL),Sell to Close,-3753.0,$0.67,7/3/02,$0.00,$1261.48,-3753.0,
22,DTSreversal(BUY),Buy to Open,3753.0,$0.67,7/3/02,,$1436.00,0.0,
23,DTSreversal(SELL),Sell to Close,-3508.0,$0.71,7/5/02,$0.00,$1267.61,-3508.0,
24,DTSreversal(BUY),Buy to Open,3508.0,$0.71,7/5/02,,$1436.00,0.0,
25,DTSreversal(BUY),Buy to Open,2463.0,$1.01,12/27/02,,$1258.66,2463.0,
26,DTSreversal(BUY),Buy to Open,2651.0,$0.94,12/30/02,,$1358.38,5114.0,
27,DTSreversal(BUY),Buy to Open,2597.0,$0.96,12/31/02,,$1219.59,7711.0,
28,DTSreversal(SELL),Sell to Close,-7711.0,$1.10,1/14/03,$998.07,$2434.07,0.0,
29,DTSreversal(BUY),Buy to Open,2492.0,$1.00,2/14/03,,$2434.07,2492.0,
30,DTSreversal(BUY),Buy to Open,2492.0,$1.00,2/18/03,,$2765.50,4984.0,
31,DTSreversal(SELL),Sell to Close,-4984.0,$1.10,3/3/03,$485.94,$2920.01,0.0,
32,DTSreversal(BUY),Buy to Open,992.0,$2.52,11/18/03,,$2827.75,992.0,
33,DTSreversal(BUY),Buy to Open,1030.0,$2.42,11/19/03,,$2931.89,2022.0,
34,DTSreversal(BUY),Buy to Open,1009.0,$2.48,11/20/03,,$2828.83,3031.0,
35,DTSreversal(SELL),Sell to Close,-3031.0,$2.73,12/2/03,$787.81,$3707.82,0.0,
36,DTSreversal(BUY),Buy to Open,1013.0,$2.47,12/10/03,,$3700.73,1013.0,
37,DTSreversal(BUY),Buy to Open,1016.0,$2.46,12/11/03,,$3863.05,2029.0,
38,DTSreversal(BUY),Buy to Open,1050.0,$2.38,12/18/03,,$3716.50,3079.0,
39,DTSreversal(SELL),Sell to Close,-3079.0,$2.67,12/26/03,$712.23,$4420.05,0.0,
40,DTSreversal(BUY),Buy to Open,1015.0,$2.46,1/30/04,,$4479.94,1015.0,
41,DTSreversal(BUY),Buy to Open,992.0,$2.52,2/2/04,,$4266.19,2007.0,
42,DTSreversal(BUY),Buy to Open,1035.0,$2.41,2/3/04,,$3759.70,3042.0,
43,DTSreversal(SELL),Sell to Close,-3042.0,$2.24,4/2/04,($690.77),$3729.28,0.0,
44,DTSreversal(SELL),Sell to Close,-1257.0,$1.99,10/27/05,$0.00,$3772.65,-1257.0,
45,DTSreversal(BUY),Buy to Open,1257.0,$1.99,10/27/05,,$3729.28,0.0,
46,DTSreversal(SELL),Sell to Close,-1280.0,$1.95,10/28/05,$0.00,$3736.32,-1280.0,
47,DTSreversal(BUY),Buy to Open,1280.0,$1.95,10/28/05,,$3729.28,0.0,
48,DTSreversal(SELL),Sell to Close,-1283.0,$1.95,10/31/05,$0.00,$3670.90,-1283.0,
49,DTSreversal(BUY),Buy to Open,1283.0,$1.95,10/31/05,,$3729.28,0.0,
50,DTSreversal(SELL),Sell to Close,-1254.0,$1.99,11/1/05,$0.00,$3697.30,-1254.0,
51,DTSreversal(BUY),Buy to Open,1254.0,$1.99,11/1/05,,$3729.28,0.0,
52,DTSreversal(SELL),Sell to Close,-1238.0,$2.02,11/2/05,$0.00,$3705.76,-1238.0,
53,DTSreversal(BUY),Buy to Open,1238.0,$2.02,11/2/05,,$3729.28,0.0,
54,DTSreversal(BUY),Buy to Open,1095.0,$2.28,1/11/06,,$3689.86,1095.0,
55,DTSreversal(BUY),Buy to Open,1112.0,$2.25,1/12/06,,$3626.96,2207.0,
56,DTSreversal(BUY),Buy to Open,1127.0,$2.22,1/13/06,,$3633.63,3334.0,
57,DTSreversal(SELL),Sell to Close,-3334.0,$2.14,2/3/06,($372.37),$3356.91,0.0,
58,DTSreversal(SELL),Sell to Close,-1333.0,$1.88,1/9/07,$0.00,$3338.25,-1333.0,
59,DTSreversal(BUY),Buy to Open,1333.0,$1.88,1/9/07,,$3356.91,0.0,
60,DTSreversal(SELL),Sell to Close,-1323.0,$1.89,1/10/07,$0.00,$3398.58,-1323.0,
61,DTSreversal(BUY),Buy to Open,1323.0,$1.89,1/10/07,,$3356.91,0.0,
62,DTSreversal(SELL),Sell to Close,-1345.0,$1.86,1/11/07,$0.00,$3340.09,-1345.0,
63,DTSreversal(BUY),Buy to Open,1345.0,$1.86,1/11/07,,$3356.91,0.0,
64,DTSreversal(SELL),Sell to Close,-1336.0,$1.87,1/12/07,$0.00,$3303.47,-1336.0,
65,DTSreversal(BUY),Buy to Open,1336.0,$1.87,1/12/07,,$3356.91,0.0,
66,DTSreversal(SELL),Sell to Close,-1352.0,$1.85,1/19/07,$0.00,$3354.20,-1352.0,
67,DTSreversal(BUY),Buy to Open,1352.0,$1.85,1/19/07,,$3356.91,0.0,
68,DTSreversal(SELL),Sell to Close,-1350.0,$1.85,1/22/07,$0.00,$3361.63,-1350.0,
69,DTSreversal(BUY),Buy to Open,1350.0,$1.85,1/22/07,,$3356.91,0.0,
70,DTSreversal(SELL),Sell to Close,-1353.0,$1.85,1/23/07,$0.00,$3392.17,-1353.0,
71,DTSreversal(BUY),Buy to Open,1353.0,$1.85,1/23/07,,$3356.91,0.0,
72,DTSreversal(SELL),Sell to Close,-1372.0,$1.82,1/24/07,$0.00,$3299.89,-1372.0,
73,DTSreversal(BUY),Buy to Open,1372.0,$1.82,1/24/07,,$3356.91,0.0,
